NetAlan,Sehir,Ilce,Mahalle,Fiyat,OdaSayisi,SalonSayisi,BinaYasi,BalkonSayisi,SiteIcerisinde,KatTipi
125.0,Istanbul,Bahçelievler,Cumhuriyet,6750000,3.0,1.0,2,2,0,Normal
85.0,Istanbul,Sultanbeyli,Necipfazıl,4200000,2.0,1.0,9,1,1,Normal
280.0,Istanbul,Büyükçekmece,Mimarsinan,16750000,5.0,2.0,0,1,0,Dubleks
70.0,Istanbul,Sancaktepe,Sarıgazi,4400000,2.0,1.0,0,0,1,Normal
160.0,Istanbul,Ataşehir,Yeni Çamlıca,4700000,2.0,1.0,26,2,0,Normal
114.0,Istanbul,Esenyurt,Haramidere,3300000,2.0,1.0,4,2,1,Normal
150.0,Istanbul,Başakşehir,İkitelli,4350000,3.0,2.0,29,2,0,Dubleks
95.0,Istanbul,Arnavutköy,Taşoluk,4000000,2.0,1.0,5,1,0,Normal
90.0,Istanbul,Sultanbeyli,Mehmetakif,1850000,2.0,1.0,26,2,0,Normal
110.0,Istanbul,Esenyurt,Haramidere,2250000,2.0,1.0,20,1,0,Normal
145.0,Istanbul,Esenyurt,Haramidere,3550000,3.0,1.0,16,1,1,Normal
110.0,Istanbul,Ümraniye,Tepeüstü,3550000,2.0,1.0,27,2,1,Normal
125.0,Istanbul,Küçükçekmece,Sefaköy,4350000,3.0,1.0,23,1,1,Normal
7.651,Istanbul,Çekmeköy,Taşdelen,6200000,1.0,1.0,3,1,1,Normal
110.0,Istanbul,Sultangazi,Zübeydehanım,4200000,2.0,1.0,25,2,0,Normal
118.0,Istanbul,Başakşehir,İkitelli,7250000,3.0,1.0,16,1,0,Normal
140.0,Istanbul,Maltepe,Zümrütevler,4050000,2.0,1.0,28,2,0,Normal
65.0,Istanbul,Esenyurt,Kıraç,1580000,1.0,1.0,13,0,0,Normal
85.0,Istanbul,Eyüpsultan,Rami,2950000,2.0,1.0,29,1,0,Normal
80.0,Istanbul,Esenyurt,Kıraç,2600000,2.0,1.0,3,0,1,Normal
120.0,Istanbul,Kağıthane,Hamidiye,6500000,3.0,1.0,15,0,0,Normal
180.0,Istanbul,Beykoz,Çavuşbaşı,5350000,3.0,1.0,26,1,0,Dubleks
80.0,Istanbul,Zeytinburnu,Çırpıcı,3500000,2.0,1.0,25,1,0,Normal
100.0,Istanbul,Beylikdüzü,Kavaklı,2150000,2.0,1.0,28,2,1,Normal
120.0,Istanbul,Pendik,Çamçeşme,2950000,3.0,1.0,30,0,0,Normal
95.0,Istanbul,Esenyurt,Kıraç,3400000,2.0,1.0,0,0,1,Normal
400.0,Istanbul,Sultangazi,Zübeydehanım,3800000,3.0,1.0,26,2,0,Tripleks
155.0,Istanbul,Eyüpsultan,Alibeyköy,6500000,2.0,2.0,21,2,0,Dubleks
111.0,Istanbul,Eyüpsultan,Çırçır,3700000,2.0,1.0,29,1,0,Normal
120.0,Istanbul,Güngören,Tozkoparan,5600000,3.0,1.0,0,0,1,Normal
